ADJ,ADP,ADV,AUX,CCONJ,DET,Lemma,NOUN,NUM,PART,PRON,PROPN,PUNCT,ParentAUX,ParentNOUN,ParentNUM,ParentNon,ParentPRON,ParentPROPN,ParentPUNCT,ParentVERB,SCONJ,Sentence,Token,VERB,acl:relcl,advcl,advmod,aux:pass,case,cc,ccomp,conj,det,discourse,iobj,mark,nmod,nsubj,nsubj:pass,obj,obl,parataxis,punct,Answer
0,0,0,0,0,0,задохся,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"А пес остался в подворотне и , страдая от изуродованного бока , прижался к холодной массивной стене , задохся и твердо решил , что больше отсюда никуда не пойдет , тут и сдохнет в подворотне . ",задохся,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,0,0,0,освещенном,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Дверь через улицу в ярко освещенном магазине хлопнула , и из нее показался гражданин . ",освещенном,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,1,лешего,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"Какого же лешего , спрашивается , носило его в кооператив Центрохоза ? ",лешего,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,пустующий,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Запах омолодил меня , поднял с брюха , жгучими волнами стеснил двое суток пустующий желудок , запах , победивший больницу , райский запах рубленой лошади с чесноком и перцем . ",пустующий,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,победивший,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"Запах омолодил меня , поднял с брюха , жгучими волнами стеснил двое суток пустующий желудок , запах , победивший больницу , райский запах рубленой лошади с чесноком и перцем . ",победивший,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
0,0,0,0,0,0,называемой,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"Не снимая коричневых перчаток , размотал бумагу , которой тотчас овладела метель , и отломил кусок колбасы , называемой « Особенная краковская » . ",называемой,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,0,0,0,0,0,вгрызся,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Пес мгновенно оборвал кожуру , с всхлипыванием вгрызся в краковскую и сожрал ее в два счета . ",вгрызся,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,вашими,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,"Пинайте меня вашими фетровыми ботинками в рыло , я слова не вымолвлю ! ",вашими,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
0,0,0,0,0,0,поглощенный,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,"Бок болел нестерпимо , но Шарик временами забывал о нем , поглощенный одной мыслью , как бы не утратить в сутолоке чудесного видения в шубе и чем - нибудь выразить ему любовь и преданность . ",поглощенный,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,подбирающий,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"Шарик света не взвидел при мысли , что богатый чудак , подбирающий раненых псов в подворотне , чего доброго и этого вора прихватит с собой , и придется делиться моссельпромовским изделием . ",подбирающий,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
