ADJ,ADP,ADV,AUX,CCONJ,DET,Lemma,NOUN,NUM,PART,PRON,PROPN,PUNCT,ParentAUX,ParentNOUN,ParentNUM,ParentNon,ParentPRON,ParentPROPN,ParentPUNCT,ParentVERB,SCONJ,Sentence,Token,VERB,acl:relcl,advcl,advmod,aux:pass,case,cc,ccomp,conj,det,discourse,iobj,mark,nmod,nsubj,nsubj:pass,obj,obl,parataxis,punct,Answer
0,0,0,0,0,0,привязанный,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"' Тебе от барыни письма пришла ' , - доложил Гайнан , черемис , искренне привязанный к Ромашову . ",привязанный,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,1,0,0,занять,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,Владимир Ефимыч был занят . ,занят,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,1,0,0,0,разрешенных,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,С Ромочкой ( так она звала Ромашова ) Шурочка принялась обсуждать газетную статью о недавно разрешенных в армии поединках . ,разрешенных,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,говорившего,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,"Ромашов не был согласен зачислять в эту компанию Назанского , говорившего о том , что способность любить дается , как и талант , не каждому . ",говорившего,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
0,0,0,0,0,0,кончено,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,". . . На ближайшем же полковом балу Ромашов набрался храбрости сказать любовнице , что все кончено . ",кончено,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
0,0,0,0,0,0,похожее,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"Ромашов сидел рядом с Шурочкой , почти не слушал разглагольствования Осадчего , тосты и плоские шутки офицеров , испытывая странное состояние , похожее на сон . ",похожее,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,0,1,1,0,0,недоволен,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,"Николаев , похоже , был недоволен . ",недоволен,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0,0,0,0,0,0,влюбленный,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,"Они сели на траву . ' Я в вас влюблена сегодня ' , - призналась она . ",влюблена,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
0,0,0,0,0,0,общий,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"У них общие мысли , желания , но она должна отказаться от него . ",общие,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,выстроенные,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Корпусный командир объехал выстроенные на плацу роты , посмотрел , как они маршируют , как выполняют ружейные приемы и перестраиваются для отражения неожиданных кавалерийских атак , - и остался недоволен . ",выстроенные,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,потребовавшим,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"К этому прибавилось объяснение с Николаевым , потребовавшим сделать все , чтобы прекратить поток анонимок , и еще - не бывать у них в доме . ",потребовавшим,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,случившееся,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"Перебирая в памяти случившееся , Ромашов незаметно дошагал до железнодорожного полотна и в темноте разглядел солдата Хлебникова , предмет издевательств и насмешек в роте . ' Ты хотел убить себя ? ' - спросил он Хлебникова , и солдат , захлебываясь рыданиями , рассказал , что его бьют , смеются , взводный вымогает деньги , а где их взять . ",случившееся,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
0,0,0,0,0,0,болеющих,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,С этой поры он понял : безликие роты и полки состоят из таких вот болеющих своим горем и имеющих свою судьбу Хлебниковых . ,болеющих,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,иметь,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,С этой поры он понял : безликие роты и полки состоят из таких вот болеющих своим горем и имеющих свою судьбу Хлебниковых . ,имеющих,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,присутствующих,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Бек - Агамалов бросился с шашкой на присутствующих ( ' Все вон отсюда ! ' ) , а затем гнев его обратился на одну из барышень , обозвавшую его дураком . ",присутствующих,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,обозвавшую,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"Бек - Агамалов бросился с шашкой на присутствующих ( ' Все вон отсюда ! ' ) , а затем гнев его обратился на одну из барышень , обозвавшую его дураком . ",обозвавшую,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
