c0,c1,c2
а,cc:preconj,CCONJ
пес,nsubj,Nom_NOUN
подворотне,obl,Loc_NOUN
прижался,conj,VERB
и,cc,CCONJ
страдая,advcl,VERB
стена,obl,Loc_NOUN
решить,conj,VERB
и,cc,CCONJ
твердо,advmod,ADV
пойдет,ccomp,VERB
что,mark,SCONJ
больше,advmod,ADV
отсюда,advmod,ADV
никуда,advmod,ADV
не,advmod,PART
тут,advmod,ADV
сдохнет,conj,VERB
отчаяние,nsubj,Nom_NOUN
его,obj,Acc_PRON
что,mark,SCONJ
слезы,nsubj,Nom_NOUN
пупырышки,obl,Gen_NOUN
глаз,obl,Acc_NOUN
засыхали,conj,VERB
и,cc,CCONJ
тут,advmod,ADV
бок,nsubj,Nom_NOUN
комьями,iobj,Ins_NOUN
глядели,conj,VERB
а,cc,CCONJ
они,obl,Ins_PRON
пятна,amod,Nom_ADJ
она,nsubj,Nom_PRON
он,obj,Acc_PRON
шарик,nsubj,Nom_PROPN
это,nsubj,Nom_PRON
круглый,amod,Nom_ADJ
упитанный,conj,Nom_ADJ
глупый,conj,Nom_ADJ
овсянку,conj,SCONJ
и,cc,CCONJ
нее,obl,Acc_PRON
гражданин,obj,Acc_NOUN
пальто,nsubj,Nom_PRON
многий,nsubj,Nom_ADJ
пролетариев,obl,Gen_NOUN
но,cc,CCONJ
весь,det,Nom_DET
можно,xcomp,VERB
а,cc:preconj,CCONJ
глазам,obl,Dat_NOUN
тут,advmod,ADV
уж,nsubj,Nom_NOUN
и,cc,CCONJ
спутаешь,obj,Acc_NOUN
а,cc,CCONJ
сам,advmod,Nom_ADJ
всякий,obj,Gen_DET
вот,nsubj,Nom_NOUN
именно,discourse,PART
и,cc,CCONJ
приятно,advmod,ADV
лодыжку,obl,Acc_NOUN
раз,nsubj,Nom_NOUN
значить,conj,VERB
стоишь,obj,Acc_NOUN
господин,nsubj,Nom_PROPN
уверенно,advmod,ADV
метели,conj,VERB
столбе,obl,Loc_NOUN
улица,obj,Acc_NOUN
двинулся,conj,VERB
и,cc,CCONJ
подворотню,obl,Acc_NOUN
солонины,nsubj,Gen_NOUN
лопать,xcomp,VERB
не,advmod,PART
стать,aux:pass,AUX
а,cc,CCONJ
если,mark,SCONJ
он,nsubj,Dat_PRON
ее,advmod,ADV
и,cc,CCONJ
поднимет,conj,VERB
скандал,obj,Acc_NOUN
написать,parataxis,VERB
газета,obl,Gen_NOUN
я,nsubj,Nom_PROPN
ест,nsubj,Nom_NOUN
обильно,advmod,ADV
и,cc,CCONJ
не,advmod,PART
боится,parataxis,VERB
стать,cop,AUX
но,cc,CCONJ
сам,nsubj,Nom_ADJ
никого,obj,Gen_DET
не,advmod,PART
боится,conj,VERB
а,cc,CCONJ
не,advmod,PART
потому,advmod,ADV
сыт,obj,Acc_NOUN
метели,obl,Gen_NOUN
больницей,nsubj,Nom_NOUN
лешего,acl,Gen_VERB
носило,conj,VERB
он,obj,Acc_PRON
центрохоза,obl,Gen_NOUN
что,obj,Gen_PRON
если,mark,SCONJ
вы,nsubj,Nom_PRON
делать,ccomp,VERB
что,obl,Gen_PRON
колбасу,obj,Acc_NOUN
подослать,acl:relcl,VERB
вы,nsubj,Nom_PRON
близко,advmod,ADV
не,advmod,PART
магазину,obl,Dat_NOUN
пес,nsubj,Nom_PROPN
остаток,obj,Acc_NOUN
в,conj,ADP
вьюга,nsubj,Nom_NOUN
ружье,obl,Gen_NOUN
головой,obl,Loc_PROPN
взметнул,conj,VERB
буква,obj,Acc_NOUN
омоложение,obj,Acc_NOUN
запах,nsubj,Nom_PROPN
я,obj,Acc_PRON
поднять,conj,VERB
брюха,obl,Gen_NOUN
стеснил,conj,VERB
анволми,iobj,Ins_NOUN
сутки,obj,Gen_NOUN
чувствую,nsubj,Nom_PROPN
кармане,obl,Loc_NOUN
глянь,nsubj,Nom_NOUN
я,nsubj,Nom_PRON
пес,nsubj,Nom_PROPN
змея,obl,Gen_NOUN
обливаясь,advcl,VERB
ох,nsubj,Nom_PROPN
хорошо,parataxis,VERB
а,cc:preconj,CCONJ
вы,nsubj,Nom_PRON
сегодня,advmod,ADV
величина,advcl,Nom_NOUN
чтот,nsubj,Nom_PRON
ж,advmod,ADV
это,nsubj,Nom_PRON
свет,obl,Loc_NOUN
руки,advmod,ADV
лизать,xcomp,VERB
больше,advmod,ADV
ничто,obj,Acc_NOUN
не,advmod,PART
господин,nsubj,Nom_NOUN
псу,obl,Dat_NOUN
вытащил,conj,VERB
сверкнул,conj,VERB
ободками,iobj,Ins_NOUN
и,cc,CCONJ
кармана,obl,Gen_NOUN
сверток,nsubj,Nom_NOUN
бумага,obj,Acc_NOUN
который,obl,Gen_PRON
тотчас,advmod,ADV
метель,nsubj,Nom_NOUN
отломил,conj,VERB
и,cc,CCONJ
кусок,obj,Acc_NOUN
краковская,amod,Nom_ADJ
фить,nsubj,Nom_PROPN
господин,nsubj,Nom_NOUN
и,cc,CCONJ
голосом,iobj,Ins_NOUN
пес,nsubj,Nom_PROPN
мгновенно,advmod,ADV
кожуру,obj,Acc_NOUN
сожрал,conj,VERB
всхлипыванием,obl,Ins_NOUN
и,cc,CCONJ
она,obj,Acc_PRON
счета,obl,Gen_NOUN
этот,obl,Loc_PRON
колбасой,iobj,Ins_NOUN
слез,obl,Acc_NOUN
заглотал,advcl,VERB
потому,advmod,SCONJ
что,mark,SCONJ
жадности,obl,Gen_NOUN
не,advmod,PART
веревочку,obj,Acc_NOUN
